orderId,orderName,address,latitude,longitude,deliveryWeight,deliveryVolume,vehicleType,serviceTime,zoneCode,deliveryDate,branchId,centerId,itemType,itemName,desiredDeliveryTime,openTime,closeTime,seq,updateDate
ORD-20260911-001,바다로 마포지점 · 활광어,서울특별시 마포구 월드컵로 212,37.5663245,126.9014910,80,0.32,99,10,SEOUL,2026-09-11,S01,CENTER-NR,활어,활광어,10:00,0930,1030,1,2026-09-11 06:00:00
ORD-20260911-002,바다로 마포지점 · 냉장 연어,서울특별시 마포구 월드컵로 212,37.5663245,126.9014910,60,0.24,02,10,SEOUL,2026-09-11,S01,CENTER-NR,냉장,냉장 연어,10:00,0930,1030,2,2026-09-11 06:00:00
ORD-20260911-003,바다로 서대문지점 · 냉장 연어,서울특별시 서대문구 연희로 248,37.5791820,126.9367984,70,0.28,02,10,SEOUL,2026-09-11,S02,CENTER-NR,냉장,냉장 연어,10:30,1000,1100,3,2026-09-11 06:00:00
ORD-20260911-004,바다로 서대문지점 · 냉동 새우,서울특별시 서대문구 연희로 248,37.5791820,126.9367984,80,0.32,02,10,SEOUL,2026-09-11,S02,CENTER-NR,냉동,냉동 새우,10:30,1000,1100,4,2026-09-11 06:00:00
ORD-20260911-005,바다로 은평지점 · 냉동 새우,서울특별시 은평구 은평로 195,37.6024668,126.9288202,90,0.36,02,10,SEOUL,2026-09-11,S03,CENTER-NR,냉동,냉동 새우,10:00,0930,1030,5,2026-09-11 06:00:00
ORD-20260911-006,바다로 은평지점 · 건미역,서울특별시 은평구 은평로 195,37.6024668,126.9288202,30,0.12,01,10,SEOUL,2026-09-11,S03,CENTER-NR,일반,건미역,10:00,0930,1030,6,2026-09-11 06:00:00
ORD-20260911-007,바다로 영등포지점 · 건미역,서울특별시 영등포구 당산로 123,37.5264807,126.8956526,35,0.14,01,10,SEOUL,2026-09-11,S04,CENTER-NR,일반,건미역,10:30,1000,1100,7,2026-09-11 06:00:00
ORD-20260911-008,바다로 영등포지점 · 활광어,서울특별시 영등포구 당산로 123,37.5264807,126.8956526,110,0.44,99,10,SEOUL,2026-09-11,S04,CENTER-NR,활어,활광어,10:30,1000,1100,8,2026-09-11 06:00:00
ORD-20260911-009,바다로 양천지점 · 활우럭,서울특별시 양천구 목동동로 257,37.5265200,126.8752476,120,0.48,99,10,SEOUL,2026-09-11,S05,CENTER-NR,활어,활우럭,11:00,1030,1130,9,2026-09-11 06:00:00
ORD-20260911-010,바다로 양천지점 · 냉장 고등어,서울특별시 양천구 목동동로 257,37.5265200,126.8752476,100,0.4,02,10,SEOUL,2026-09-11,S05,CENTER-NR,냉장,냉장 고등어,11:00,1030,1130,10,2026-09-11 06:00:00
